PhysID,ITM_1,ITM_2,ITM_3,ITM_4,ITM_5,ITM_6,ITM_7
1497953673,GENDER_M,OXYCODONE,SPCLTY_Ophthalmology,STATE_OK,,,
1497955074,GENDER_M,HYDROCODONE,OXYCODONE,SPCLTY_Physician Assistant,STATE_NC,,
1497957195,GENDER_M,HYDROCODONE,OXYCODONE,SPCLTY_Internal Medicine,STATE_FL,TRAMADOL,
1497959068,GENDER_F,HYDROCODONE,SPCLTY_Internal Medicine,STATE_TX,TRAMADOL,,
1497959696,FENTANYL,GENDER_F,HYDROCODONE,OXYCODONE,SPCLTY_Family Practice,STATE_NJ,TRAMADOL
1497963698,GENDER_M,HYDROCODONE,SPCLTY_Family Practice,STATE_TX,TRAMADOL,,
1497964266,GENDER_M,HYDROCODONE,OXYCODONE,SPCLTY_Dentist,STATE_LA,,
1497967194,GENDER_M,HYDROCODONE,SPCLTY_Internal Medicine,STATE_LA,,,
1497986418,GENDER_F,HYDROCODONE,SPCLTY_Orthopedic Surgery,STATE_FL,,,
1497989610,GENDER_F,HYDROCODONE,SPCLTY_Podiatry,STATE_IN,,,
1497991475,GENDER_F,OXYCODONE,SPCLTY_Physician Assistant,STATE_PA,,,
1497998215,GENDER_M,HYDROCODONE,SPCLTY_Internal Medicine,STATE_ID,TRAMADOL,,
1497999510,GENDER_F,HYDROCODONE,SPCLTY_Family Practice,STATE_OH,,,
1508002775,GENDER_M,OXYCODONE,SPCLTY_Colorectal Surgery (f,STATE_CA,,,
1508007451,GENDER_F,SPCLTY_Nephrology,STATE_AZ,TRAMADOL,,,
1508007824,GENDER_F,HYDROCODONE,OXYCODONE,SPCLTY_Physician Assistant,STATE_NY,,
1508012741,GENDER_F,HYDROCODONE,OXYCODONE,SPCLTY_Family Practice,STATE_CA,TRAMADOL,
1508014929,GENDER_F,OXYCODONE,SPCLTY_Emergency Medicine,STATE_IL,,,
1508019167,GENDER_F,HYDROCODONE,OXYCODONE,SPCLTY_Physician Assistant,STATE_CA,,
1508020918,GENDER_M,HYDROCODONE,OXYCODONE,SPCLTY_Family Practice,STATE_CO,TRAMADOL,
1508021353,FENTANYL,GENDER_M,HYDROCODONE,OXYCODONE,SPCLTY_Internal Medicine,STATE_WI,
1508022484,GENDER_M,HYDROCODONE,SPCLTY_Internal Medicine,STATE_TX,,,
1508025578,GENDER_F,HYDROCODONE,OXYCODONE,SPCLTY_Nurse Practitioner,STATE_CO,,
1508028937,GENDER_M,HYDROCODONE,SPCLTY_Cardiology,STATE_LA,,,
1508028986,GENDER_M,HYDROCODONE,SPCLTY_Dentist,STATE_LA,,,
1508035197,GENDER_M,HYDROCODONE,SPCLTY_Emergency Medicine,STATE_IN,,,
1508040304,GENDER_M,HYDROCODONE,OXYCODONE,SPCLTY_Orthopedic Surgery,STATE_CA,TRAMADOL,
